customer_id,first_name,last_name,email,phone,ssn,credit_card,ip_address,signup_date,plan,mrr,seats,churned,notes
CUST-0001,Shelby,Joyce,shelbyjoyce1@example.com,(993) 540-6286,651-47-5041,4635166185664053,163.60.235.64,2023-12-29,free,416.63,408,false,Understand report number rule simple four play growth yet hot recent seven tell.
CUST-0002,Sally,Floyd,sallyfloyd2@example.com,(738) 833-9458,794-06-1184,4690033143795092,96.221.117.141,2024-05-20,free,108.65,398,false,
CUST-0003,Mario,Glenn,marioglenn3@example.com,(251) 964-8104,722-95-9565,4708785894412025,91.40.98.113,2022-01-06,enterprise,200.08,427,false,Body star human assume recognize give idea soon son professional.
CUST-0004,Clayton,Massey,claytonmassey4@example.com,(243) 640-4710,760-20-0917,4756135943327694,120.129.81.57,2021-11-04,enterprise,130.98,432,false,Organization leave whatever somebody finish real trip lead enter cut.
CUST-0005,Christy,Savage,christysavage5@example.com,(240) 230-8846,615-25-7168,4485653479662944,206.121.197.209,2022-02-03,enterprise,483.89,44,false,Point wide wide similar authority while.
CUST-0006,Adrian,Erickson,adrianerickson6@example.com,(808) 598-2286,039-65-9522,4637134073585499,37.78.22.165,2021-06-25,enterprise,403.71,255,false,Approach admit culture bit cultural see yourself notice actually view four occur director.
CUST-0007,Angel,Hunter,angelhunter7@example.com,(950) 830-8010,469-95-0342,4232330776450655,213.52.86.21,2021-10-31,enterprise,168.91,8,false,Simply new position summer degree window.
CUST-0008,Stacey,Eaton,staceyeaton8@example.com,(763) 857-6630,592-77-4023,4063658773111258,80.193.14.1,2022-02-01,enterprise,86.50,468,true,
CUST-0009,Collin,Rivas,collinrivas9@example.com,(207) 624-4905,498-48-0634,4509010569667204,138.94.97.19,2024-02-01,pro,283.34,97,true,
CUST-0010,Maureen,Johns,maureenjohns10@example.com,(817) 282-3661,514-24-7157,4068841540755053,160.169.110.27,2023-12-08,enterprise,321.34,14,true,Money continue production second region on wind agency mission my pressure usually.
CUST-0011,Cynthia,Lam,cynthialam11@example.com,(859) 241-7111,740-59-1350,4598978831795502,48.74.55.59,2023-12-19,enterprise,150.13,210,true,Sometimes popular energy remember way tough firm bad keep music education approach change.
CUST-0012,Hector,Johnston,hectorjohnston12@example.com,(582) 833-3536,168-77-7739,4481474213222000,25.121.180.32,2024-09-19,pro,443.95,103,true,Paper thing use involve scientist choose plant girl attention good.
CUST-0013,Kristine,Gallagher,kristinegallagher13@example.com,(613) 292-3270,833-24-5905,4380314854540462,93.174.45.165,2024-06-26,enterprise,315.15,389,false,Enough degree carry hot involve education develop yard free person soon whatever upon.
CUST-0014,Madeline,Valdez,madelinevaldez14@example.com,(551) 373-9852,385-67-0345,4719386438799691,126.65.200.97,2021-03-12,enterprise,178.11,199,true,Responsibility perform pick always music court join shake.
CUST-0015,Darren,Bowman,darrenbowman15@example.com,(736) 456-1736,103-80-3043,4256281286568042,34.197.198.160,2022-11-09,enterprise,30.27,235,true,Fire I grow true throughout oil whole herself perhaps every second history.
CUST-0016,Edwin,Cooper,edwincooper16@example.com,(925) 227-0907,637-06-9574,4890952953494546,167.202.173.183,2024-03-14,free,105.10,17,false,Leave able beat use man standard traditional.
CUST-0017,Eduardo,Mejia,eduardomejia17@example.com,(439) 204-8481,188-52-4369,4995472108457045,156.113.244.101,2023-05-18,free,131.69,180,true,Also wall ok crime know project feeling.
CUST-0018,Andre,Michael,andremichael18@example.com,(648) 388-8541,698-04-5150,4769890378274499,52.241.157.217,2022-04-21,pro,182.41,277,false,So defense movement up oil bill task wear media opportunity popular political.
CUST-0019,Rachael,Hood,rachaelhood19@example.com,(311) 831-6390,352-14-9199,4335427351741080,39.109.117.50,2023-12-16,enterprise,155.31,404,false,Fast chance letter ball their run major leader return compare cover down.
CUST-0020,Patricia,Stephenson,patriciastephenson20@example.com,(235) 217-2274,698-30-9322,4058789031858252,148.138.160.139,2023-04-23,pro,1126.38,132,true,
CUST-0021,Gwendolyn,Bates,gwendolynbates21@example.com,(483) 286-2067,233-20-2805,4182541248646064,188.98.141.128,2021-08-23,pro,22.12,353,false,Positive represent son leave source pull sell agent.
CUST-0022,Cassidy,Ellis,cassidyellis22@example.com,(736) 540-8122,873-59-2116,4647928450995710,79.72.158.215,2024-06-25,pro,20.00,395,true,Good picture size ball address federal process create range blood city.
CUST-0023,Samuel,Navarro,samuelnavarro23@example.com,(557) 530-8766,623-02-6086,4738579632354324,184.153.245.170,2024-02-20,pro,1647.01,338,true,Officer early trial arrive dinner small foreign necessary list create available.
CUST-0024,Riley,Golden,rileygolden24@example.com,(988) 323-5364,735-07-2472,4183738562333092,147.179.95.148,2022-08-29,pro,245.49,405,false,Guess oil agree view quickly weight arrive.
CUST-0025,Gabriel,Odonnell,gabrielodonnell25@example.com,(237) 667-4507,495-54-5201,4432749680756659,131.35.254.234,2022-09-17,enterprise,37.57,136,true,Value suddenly wind when miss true choose truth suddenly increase main although professional.
CUST-0026,Jocelyn,Erickson,jocelynerickson26@example.com,(311) 739-1556,088-16-3476,4767535481573905,11.66.49.91,2023-11-10,free,127.64,300,false,Series argue service approach seven song.
CUST-0027,Kristy,Baldwin,kristybaldwin27@example.com,(467) 213-3813,784-55-8719,4401763588653857,61.38.93.60,2024-07-07,pro,343.92,277,true,
CUST-0028,Lydia,Fisher,lydiafisher28@example.com,(400) 450-6716,759-28-6335,4138339554375104,27.210.227.22,2023-04-21,enterprise,84.82,327,true,Instead list activity whose table couple interesting because nearly mission space individual those.
CUST-0029,Kristi,Conrad,kristiconrad29@example.com,(771) 666-6691,727-36-0155,4035359072341242,223.73.223.68,2021-08-18,pro,992.92,254,false,What may join interesting wear national figure.
CUST-0030,Brad,Beltran,bradbeltran30@example.com,(584) 237-3770,713-21-4284,4823473804577092,164.205.224.194,2021-07-03,pro,1036.92,363,true,
CUST-0031,Robert,Hahn,roberthahn31@example.com,(662) 478-4508,647-06-6347,4383301384445236,124.251.69.21,2022-08-13,free,238.96,53,true,Example you theory happen yet agency guess option trial democratic.
CUST-0032,Frances,Gibbs,francesgibbs32@example.com,(712) 205-6944,061-50-9577,4063658484537023,195.73.164.114,2021-04-22,enterprise,608.10,116,true,Agree wear I more without song a popular question wide return bar.
CUST-0033,Darin,Flowers,darinflowers33@example.com,(584) 550-9195,356-66-1897,4937669462359250,79.108.153.52,2021-08-30,pro,215.65,70,false,Others pass no what become word purpose sign seat allow.
CUST-0034,Tina,Collier,tinacollier34@example.com,(980) 443-3344,673-72-4510,4264353263616373,173.83.235.16,2023-07-29,free,158.39,12,false,Blue soon impact career production enter machine.
CUST-0035,Seth,Andrade,sethandrade35@example.com,(804) 548-2081,725-67-9482,4549479554094959,140.143.249.160,2023-06-15,enterprise,452.09,363,true,
CUST-0036,Savannah,Wheeler,savannahwheeler36@example.com,(445) 309-3916,321-74-5393,4695293404547054,68.34.95.205,2023-03-07,pro,46.15,147,true,Health democratic station there environmental must.
CUST-0037,Pedro,Merritt,pedromerritt37@example.com,(745) 280-5027,053-25-7138,4196086270203529,66.14.229.75,2022-06-12,free,68.12,280,true,
CUST-0038,Sue,Sherman,suesherman38@example.com,(743) 916-2327,597-45-5258,4504146113165918,213.163.106.207,2022-07-01,pro,166.90,321,true,
CUST-0039,Gina,Ochoa,ginaochoa39@example.com,(270) 242-7912,005-23-0705,4423007945999833,48.95.70.5,2023-04-02,free,110.40,422,true,Purpose exactly either rule shake themselves certain.
CUST-0040,Jerome,Hamilton,jeromehamilton40@example.com,(434) 448-2615,432-09-6148,4633250925349621,200.214.214.209,2023-11-07,pro,263.83,56,true,
CUST-0041,Shane,Santiago,shanesantiago41@example.com,(693) 963-6898,648-39-5253,4210163110943879,82.98.48.7,2024-02-07,free,268.22,66,false,Charge produce area skin buy current as middle.
CUST-0042,Cristian,Perry,cristianperry42@example.com,(879) 540-9478,723-34-9213,4229601724422144,139.45.156.43,2023-06-19,pro,84.20,488,true,Modern type room idea current continue strategy require wall morning product arm turn.
CUST-0043,Carmen,Ferrell,carmenferrell43@example.com,(926) 447-4780,593-28-5362,4145090015457798,177.170.181.191,2024-02-24,enterprise,166.64,470,false,Fast first food fact analysis inside future.
CUST-0044,Wyatt,Dixon,wyattdixon44@example.com,(972) 278-1901,118-95-5868,4805759784309866,222.252.154.13,2024-04-30,free,224.70,164,false,Politics must open movie alone follow strategy.
CUST-0045,Chloe,Bullock,chloebullock45@example.com,(245) 751-2405,824-87-4051,4868333752716637,21.183.146.53,2021-10-14,enterprise,288.09,490,false,Into though poor note college heart military.
CUST-0046,Joe,Bright,joebright46@example.com,(213) 971-6085,309-06-3892,4637350078654011,67.16.197.112,2024-04-16,enterprise,82.97,476,false,
CUST-0047,Jodi,Braun,jodibraun47@example.com,(530) 695-1488,170-25-0304,4811844845740457,14.242.92.172,2022-10-04,free,43.59,321,true,Key once there movie say debate.
CUST-0048,Jamie,Barton,jamiebarton48@example.com,(878) 330-5791,568-87-8850,4161644137546638,59.226.196.87,2023-07-18,enterprise,198.42,62,true,Majority party imagine laugh respond campaign her hold baby former edge nothing.
CUST-0049,Patrick,Wong,patrickwong49@example.com,(273) 465-8004,353-47-8546,4221127121751701,190.56.54.103,2021-08-27,pro,58.70,23,true,Economy beyond control girl include memory pretty mean recognize usually protect necessary.
CUST-0050,Angelica,Cameron,angelicacameron50@example.com,(398) 938-3180,533-33-7828,4620024372592172,138.241.235.137,2021-10-15,enterprise,103.32,11,false,
CUST-0051,Jeanette,Knapp,jeanetteknapp51@example.com,(268) 712-5968,124-87-7839,4101554958048221,27.54.129.26,2024-11-04,pro,459.20,129,false,Behavior risk perhaps leader air artist number similar discuss.
CUST-0052,Geoffrey,Dickson,geoffreydickson52@example.com,(868) 257-2091,802-30-0768,4750916233008805,137.4.219.52,2023-07-20,free,445.09,176,false,Remain same water area perform animal.
CUST-0053,Colin,Marshall,colinmarshall53@example.com,(443) 520-9812,172-98-8360,4548556689194068,203.236.72.165,2023-04-01,enterprise,346.01,259,false,
CUST-0054,Angie,Atkins,angieatkins54@example.com,(827) 576-8192,039-42-0110,4039848025285494,71.36.95.239,2024-10-08,free,78.22,495,true,Past occur their simple pattern gas father represent visit true whole house.
CUST-0055,Jack,Contreras,jackcontreras55@example.com,(342) 863-6883,439-71-8456,4797042410700711,132.238.210.90,2022-06-27,enterprise,20.25,289,false,Research all pass term travel join human language plan do.
CUST-0056,Derrick,Hogan,derrickhogan56@example.com,(590) 529-8486,674-18-3785,4269001667962522,37.197.175.143,2021-08-29,pro,105.14,461,false,Contain entire organization future later attorney movement energy just police nothing modern.
CUST-0057,Jacob,Chang,jacobchang57@example.com,(778) 869-0280,865-75-6435,4911831796762324,27.124.19.110,2024-10-18,enterprise,593.75,392,false,Book any add discussion peace oil executive just miss ago prove.
CUST-0058,Cory,Salazar,corysalazar58@example.com,(477) 281-0162,332-11-1145,4242942016001706,209.160.253.50,2024-07-04,enterprise,446.84,123,true,Public identify network along doctor stop start lot rule cost.
CUST-0059,Gina,Ramos,ginaramos59@example.com,(488) 729-3599,250-73-3205,4726029179802859,162.226.131.151,2022-11-26,enterprise,87.57,34,true,Father clear likely teacher suffer music opportunity need indicate.
